R,G,B,COLOUR
258.64,69.55,59.27,MY_RED
229.50,55.38,48.24,MY_RED
222.21,52.80,45.49,MY_RED
211.29,50.23,44.11,MY_RED
229.50,56.67,48.24,MY_RED
222.21,54.09,46.18,MY_RED
193.07,43.79,41.35,MY_RED
214.93,51.52,44.11,MY_RED
163.93,32.20,31.70,MY_RED
185.79,39.92,35.84,MY_RED
193.07,42.50,37.22,MY_RED
211.29,47.65,38.59,MY_RED
236.79,54.09,42.73,MY_RED
233.14,52.80,40.66,MY_RED
214.93,48.94,38.59,MY_RED
214.93,48.94,41.35,MY_RED
236.79,85.00,57.89,MY_ORANGE
276.86,96.59,59.96,MY_ORANGE
247.71,90.15,56.51,MY_ORANGE
211.29,75.98,50.31,MY_ORANGE
233.14,82.42,53.07,MY_ORANGE
233.14,81.14,53.76,MY_ORANGE
207.64,73.41,50.31,MY_ORANGE
244.07,83.71,50.31,MY_ORANGE
185.79,63.11,43.42,MY_ORANGE
229.50,85.00,54.45,MY_ORANGE
255.00,88.86,57.20,MY_ORANGE
240.43,85.00,55.14,MY_ORANGE
233.14,81.14,53.07,MY_ORANGE
218.57,78.56,50.31,MY_ORANGE
207.64,74.70,48.93,MY_ORANGE
218.57,75.98,51.69,MY_ORANGE
247.71,140.38,73.05,MY_ORANGE
240.43,83.71,54.45,MY_ORANGE
