R,G,B,COLOUR
54.64,82.66,210.91,MY_BLUE
59.20,102.28,215.32,MY_BLUE
68.30,103.68,216.05,MY_BLUE
77.41,106.48,216.79,MY_BLUE
77.41,107.88,216.79,MY_BLUE
81.96,120.49,116.11,MY_GREEN
86.52,120.49,115.37,MY_GREEN
77.41,114.89,113.17,MY_GREEN
81.96,120.49,113.17,MY_GREEN
95.62,131.70,119.05,MY_GREEN
227.68,71.46,45.56,MY_ORANGE
227.68,68.65,44.09,MY_ORANGE
273.21,81.26,46.30,MY_ORANGE
250.45,72.86,42.62,MY_ORANGE
245.89,74.26,43.36,MY_ORANGE
255.00,162.53,202.82,MY_PINK
236.79,158.32,199.88,MY_PINK
236.79,156.92,199.15,MY_PINK
300.54,177.94,202.09,MY_PINK
300.54,177.94,202.82,MY_PINK
173.04,26.62,26.46,MY_RED
182.14,29.42,27.93,MY_RED
200.36,33.63,30.13,MY_RED
223.13,37.83,31.60,MY_RED
236.79,40.63,33.80,MY_RED
223.13,233.98,255.00,MY_WHITE
414.38,304.04,267.49,MY_WHITE
332.41,277.42,263.08,MY_WHITE
355.18,288.63,264.55,MY_WHITE
400.71,298.43,266.02,MY_WHITE
82.61,95.94,215.16,MY_BLUE
89.79,112.35,220.47,MY_BLUE
86.20,111.09,221.13,MY_BLUE
96.97,121.19,221.80,MY_BLUE
86.20,111.09,220.47,MY_BLUE
86.20,111.09,121.52,MY_GREEN
86.20,118.66,122.19,MY_GREEN
93.38,122.45,124.18,MY_GREEN
93.38,121.19,124.18,MY_GREEN
93.38,121.19,123.52,MY_GREEN
186.76,70.69,57.11,MY_ORANGE
197.54,73.22,56.45,MY_ORANGE
208.31,75.74,53.79,MY_ORANGE
197.54,71.96,52.46,MY_ORANGE
208.31,74.48,55.12,MY_ORANGE
222.68,157.80,201.88,MY_PINK
240.63,170.42,203.87,MY_PINK
247.82,171.68,204.53,MY_PINK
337.61,200.72,213.16,MY_PINK
341.20,212.08,219.80,MY_PINK
150.85,34.08,40.51,MY_RED
190.35,46.71,46.48,MY_RED
172.39,41.66,44.49,MY_RED
172.39,41.66,43.83,MY_RED
186.76,45.45,47.15,MY_RED
244.23,239.85,253.67,MY_WHITE
308.87,292.87,265.63,MY_WHITE
240.63,257.52,258.32,MY_WHITE
255.00,332.00,280.90,MY_WHITE
287.32,266.36,259.65,MY_WHITE
107.58,118.44,225.38,MY_BLUE
115.55,133.77,227.95,MY_BLUE
115.55,135.16,227.95,MY_BLUE
135.47,156.07,231.17,MY_BLUE
107.58,137.95,228.60,MY_BLUE
111.56,129.59,113.98,MY_GREEN
115.55,137.95,115.27,MY_GREEN
135.47,157.46,122.35,MY_GREEN
119.53,142.13,118.48,MY_GREEN
123.52,147.70,120.42,MY_GREEN
278.91,107.30,77.27,MY_ORANGE
274.92,105.90,74.70,MY_ORANGE
334.69,121.23,78.56,MY_ORANGE
282.89,107.30,74.05,MY_ORANGE
278.91,105.90,73.41,MY_ORANGE
247.03,172.79,208.64,MY_PINK
298.83,195.08,213.79,MY_PINK
306.80,197.87,213.79,MY_PINK
334.69,207.62,216.36,MY_PINK
326.72,204.84,215.08,MY_PINK
151.41,37.62,49.58,MY_RED
227.11,57.13,55.38,MY_RED
191.25,50.16,53.45,MY_RED
219.14,58.52,57.31,MY_RED
219.14,58.52,57.31,MY_RED
322.73,296.80,265.95,MY_WHITE
338.67,305.16,266.59,MY_WHITE
302.81,294.02,265.30,MY_WHITE
314.77,298.20,265.95,MY_WHITE
290.86,289.84,264.66,MY_WHITE
258.64,69.55,59.27,MY_RED
229.50,55.38,48.24,MY_RED
222.21,52.80,45.49,MY_RED
211.29,50.23,44.11,MY_RED
229.50,56.67,48.24,MY_RED
222.21,54.09,46.18,MY_RED
193.07,43.79,41.35,MY_RED
214.93,51.52,44.11,MY_RED
163.93,32.20,31.70,MY_RED
185.79,39.92,35.84,MY_RED
193.07,42.50,37.22,MY_RED
211.29,47.65,38.59,MY_RED
236.79,54.09,42.73,MY_RED
233.14,52.80,40.66,MY_RED
214.93,48.94,38.59,MY_RED
214.93,48.94,41.35,MY_RED
236.79,85.00,57.89,MY_ORANGE
276.86,96.59,59.96,MY_ORANGE
247.71,90.15,56.51,MY_ORANGE
211.29,75.98,50.31,MY_ORANGE
233.14,82.42,53.07,MY_ORANGE
233.14,81.14,53.76,MY_ORANGE
207.64,73.41,50.31,MY_ORANGE
244.07,83.71,50.31,MY_ORANGE
185.79,63.11,43.42,MY_ORANGE
229.50,85.00,54.45,MY_ORANGE
255.00,88.86,57.20,MY_ORANGE
240.43,85.00,55.14,MY_ORANGE
233.14,81.14,53.07,MY_ORANGE
218.57,78.56,50.31,MY_ORANGE
207.64,74.70,48.93,MY_ORANGE
218.57,75.98,51.69,MY_ORANGE
247.71,140.38,73.05,MY_ORANGE
240.43,83.71,54.45,MY_ORANGE
231.46,69.42,42.85,MY_ORANGE
306.00,92.12,54.59,MY_ORANGE
290.31,88.12,51.83,MY_ORANGE
255.00,78.77,47.68,MY_ORANGE
325.62,98.80,57.36,MY_ORANGE
192.23,36.05,31.79,MY_RED
211.85,44.06,35.93,MY_RED
223.62,46.73,37.32,MY_RED
219.69,45.39,37.32,MY_RED
243.23,49.40,41.46,MY_RED
78.06,165.32,115.76,MY_GREEN
104.08,175.04,119.95,MY_GREEN
104.08,173.96,119.11,MY_GREEN
106.68,173.96,119.11,MY_GREEN
106.68,175.04,119.11,MY_GREEN
109.29,175.04,119.95,MY_GREEN
109.29,173.96,119.95,MY_GREEN
106.68,173.96,119.11,MY_GREEN
106.68,173.96,119.95,MY_GREEN
