R,G,B,COLOUR
54.64,82.66,210.91,BLUEGREEN
59.20,102.28,215.32,BLUEGREEN
68.30,103.68,216.05,BLUEGREEN
77.41,106.48,216.79,BLUEGREEN
77.41,107.88,216.79,BLUEGREEN
81.96,120.49,116.11,BLUEGREEN
86.52,120.49,115.37,BLUEGREEN
77.41,114.89,113.17,BLUEGREEN
81.96,120.49,113.17,BLUEGREEN
95.62,131.70,119.05,BLUEGREEN
227.68,71.46,45.56,REDORANGE
227.68,68.65,44.09,REDORANGE
273.21,81.26,46.30,REDORANGE
250.45,72.86,42.62,REDORANGE
245.89,74.26,43.36,REDORANGE
255.00,162.53,202.82,WHITEPINK
236.79,158.32,199.88,WHITEPINK
236.79,156.92,199.15,WHITEPINK
300.54,177.94,202.09,WHITEPINK
300.54,177.94,202.82,WHITEPINK
173.04,26.62,26.46,REDORANGE
182.14,29.42,27.93,REDORANGE
200.36,33.63,30.13,REDORANGE
223.13,37.83,31.60,REDORANGE
236.79,40.63,33.80,REDORANGE
223.13,233.98,255.00,WHITEPINK
414.38,304.04,267.49,WHITEPINK
332.41,277.42,263.08,WHITEPINK
355.18,288.63,264.55,WHITEPINK
400.71,298.43,266.02,WHITEPINK
82.61,95.94,215.16,BLUEGREEN
89.79,112.35,220.47,BLUEGREEN
86.20,111.09,221.13,BLUEGREEN
96.97,121.19,221.80,BLUEGREEN
86.20,111.09,220.47,BLUEGREEN
86.20,111.09,121.52,BLUEGREEN
86.20,118.66,122.19,BLUEGREEN
93.38,122.45,124.18,BLUEGREEN
93.38,121.19,124.18,BLUEGREEN
93.38,121.19,123.52,BLUEGREEN
186.76,70.69,57.11,REDORANGE
197.54,73.22,56.45,REDORANGE
208.31,75.74,53.79,REDORANGE
197.54,71.96,52.46,REDORANGE
208.31,74.48,55.12,REDORANGE
222.68,157.80,201.88,WHITEPINK
240.63,170.42,203.87,WHITEPINK
247.82,171.68,204.53,WHITEPINK
337.61,200.72,213.16,WHITEPINK
341.20,212.08,219.80,WHITEPINK
150.85,34.08,40.51,REDORANGE
190.35,46.71,46.48,REDORANGE
172.39,41.66,44.49,REDORANGE
172.39,41.66,43.83,REDORANGE
186.76,45.45,47.15,REDORANGE
244.23,239.85,253.67,WHITEPINK
308.87,292.87,265.63,WHITEPINK
240.63,257.52,258.32,WHITEPINK
255.00,332.00,280.90,WHITEPINK
287.32,266.36,259.65,WHITEPINK
107.58,118.44,225.38,BLUEGREEN
115.55,133.77,227.95,BLUEGREEN
115.55,135.16,227.95,BLUEGREEN
135.47,156.07,231.17,BLUEGREEN
107.58,137.95,228.60,BLUEGREEN
111.56,129.59,113.98,BLUEGREEN
115.55,137.95,115.27,BLUEGREEN
135.47,157.46,122.35,BLUEGREEN
119.53,142.13,118.48,BLUEGREEN
123.52,147.70,120.42,BLUEGREEN
278.91,107.30,77.27,REDORANGE
274.92,105.90,74.70,REDORANGE
334.69,121.23,78.56,REDORANGE
282.89,107.30,74.05,REDORANGE
278.91,105.90,73.41,REDORANGE
247.03,172.79,208.64,WHITEPINK
298.83,195.08,213.79,WHITEPINK
306.80,197.87,213.79,WHITEPINK
334.69,207.62,216.36,WHITEPINK
326.72,204.84,215.08,WHITEPINK
151.41,37.62,49.58,REDORANGE
227.11,57.13,55.38,REDORANGE
191.25,50.16,53.45,REDORANGE
219.14,58.52,57.31,REDORANGE
219.14,58.52,57.31,REDORANGE
322.73,296.80,265.95,WHITEPINK
338.67,305.16,266.59,WHITEPINK
302.81,294.02,265.30,WHITEPINK
314.77,298.20,265.95,WHITEPINK
290.86,289.84,264.66,WHITEPINK
258.64,69.55,59.27,REDORANGE
229.50,55.38,48.24,REDORANGE
222.21,52.80,45.49,REDORANGE
211.29,50.23,44.11,REDORANGE
229.50,56.67,48.24,REDORANGE
222.21,54.09,46.18,REDORANGE
193.07,43.79,41.35,REDORANGE
214.93,51.52,44.11,REDORANGE
163.93,32.20,31.70,REDORANGE
185.79,39.92,35.84,REDORANGE
193.07,42.50,37.22,REDORANGE
211.29,47.65,38.59,REDORANGE
236.79,54.09,42.73,REDORANGE
233.14,52.80,40.66,REDORANGE
214.93,48.94,38.59,REDORANGE
214.93,48.94,41.35,REDORANGE
236.79,85.00,57.89,REDORANGE
276.86,96.59,59.96,REDORANGE
247.71,90.15,56.51,REDORANGE
211.29,75.98,50.31,REDORANGE
233.14,82.42,53.07,REDORANGE
233.14,81.14,53.76,REDORANGE
207.64,73.41,50.31,REDORANGE
244.07,83.71,50.31,REDORANGE
185.79,63.11,43.42,REDORANGE
229.50,85.00,54.45,REDORANGE
255.00,88.86,57.20,REDORANGE
240.43,85.00,55.14,REDORANGE
233.14,81.14,53.07,REDORANGE
218.57,78.56,50.31,REDORANGE
207.64,74.70,48.93,REDORANGE
218.57,75.98,51.69,REDORANGE
247.71,140.38,73.05,REDORANGE
240.43,83.71,54.45,REDORANGE
231.46,69.42,42.85,REDORANGE
306.00,92.12,54.59,REDORANGE
290.31,88.12,51.83,REDORANGE
255.00,78.77,47.68,REDORANGE
325.62,98.80,57.36,REDORANGE
192.23,36.05,31.79,REDORANGE
211.85,44.06,35.93,REDORANGE
223.62,46.73,37.32,REDORANGE
219.69,45.39,37.32,REDORANGE
243.23,49.40,41.46,REDORANGE
